project,length,accuracy
netty,2,11.23
netty,2,100.0
netty,2,74.6
netty,2,53.33
netty,2,95.32
netty,2,50.51
netty,2,100.0
netty,2,100.0
netty,2,100.0
netty,2,90.02
netty,2,50.71
netty,2,76.73
netty,2,79.49
netty,2,40.0
netty,2,40.0
netty,2,100.0
netty,2,100.0
netty,2,100.0
netty,2,98.18
netty,2,80.95
netty,2,100.0
netty,2,90.48
netty,2,100.0
netty,2,100.0
netty,2,85.71
netty,2,42.86
netty,2,52.6
netty,2,59.13
netty,2,100.0
netty,2,100.0
netty,2,100.0
netty,2,100.0
netty,2,81.58
netty,2,40.0
netty,2,100.0
netty,2,100.0
netty,2,100.0
netty,2,46.15
netty,2,92.89
netty,2,100.0
netty,2,100.0
netty,2,59.8
netty,2,70.0
netty,2,100.0
netty,2,83.33
netty,2,100.0
netty,2,64.84
netty,2,92.31
netty,2,75.56
netty,2,80.0
netty,2,100.0
netty,2,100.0
netty,2,93.33
netty,2,100.0
netty,2,100.0
netty,2,37.61
netty,2,70.91
netty,2,100.0
netty,2,49.58
netty,2,91.38
netty,2,51.97
netty,2,100.0
netty,2,69.7
netty,2,55.56
netty,2,100.0
netty,2,84.93
netty,2,87.18
netty,2,90.48
netty,2,100.0
netty,2,100.0
netty,2,83.33
netty,2,100.0
netty,2,61.67
netty,2,100.0
netty,2,100.0
netty,2,100.0
netty,2,100.0
netty,2,61.9
netty,2,95.59
netty,2,80.0
netty,2,45.5
netty,2,65.45
netty,2,100.0
netty,2,71.11
netty,2,18.47
netty,2,100.0
netty,2,100.0
netty,2,81.29
netty,2,55.88
netty,2,100.0
netty,2,66.67
netty,2,33.33
netty,2,77.78
netty,2,100.0
netty,2,100.0
netty,2,68.89
netty,2,100.0
netty,2,94.29
netty,2,100.0
netty,2,48.92
netty,3,55.56
netty,3,60.4
netty,3,95.5
netty,3,79.77
netty,3,45.87
netty,3,46.32
netty,3,86.32
netty,3,96.93
netty,3,100.0
netty,3,94.66
netty,3,75.53
netty,3,67.65
netty,3,76.92
netty,3,100.0
netty,3,53.25
netty,3,67.03
netty,3,85.71
netty,3,83.33
netty,3,60.44
netty,3,58.76
netty,3,96.97
netty,3,70.64
netty,3,63.64
netty,3,100.0
netty,3,100.0
netty,3,63.89
netty,3,64.53
netty,3,65.26
netty,3,91.11
netty,3,68.42
netty,3,100.0
netty,3,57.14
netty,3,100.0
netty,3,53.94
netty,3,62.2
netty,3,84.47
netty,3,100.0
netty,3,82.22
netty,3,100.0
netty,3,97.22
netty,3,72.22
netty,3,57.14
netty,3,100.0
netty,3,58.33
netty,3,66.67
netty,3,100.0
netty,3,100.0
netty,3,50.36
netty,3,89.27
netty,3,89.39
netty,3,93.33
netty,3,100.0
netty,3,35.28
netty,3,100.0
netty,3,84.62
netty,3,76.62
netty,3,60.44
netty,3,63.33
netty,3,89.68
netty,3,80.22
netty,3,68.37
netty,3,55.83
netty,3,83.33
netty,3,66.67
netty,3,76.67
netty,3,41.76
netty,3,67.56
netty,3,34.62
netty,3,50.8
netty,3,100.0
netty,3,61.82
netty,3,86.21
netty,3,80.88
netty,3,100.0
netty,3,100.0
netty,3,57.14
netty,3,83.64
netty,3,71.75
netty,3,100.0
netty,3,100.0
netty,3,79.7
netty,3,70.56
netty,3,30.77
netty,3,100.0
netty,3,41.03
netty,3,100.0
netty,3,100.0
netty,3,94.51
netty,3,100.0
netty,3,84.85
netty,3,66.67
netty,3,100.0
