project,method,length,accuracy
netty,All,2,91.67
netty,All,2,75.24
netty,All,2,61.11
netty,All,2,53.33
netty,All,2,47.37
netty,All,2,50.51
netty,All,2,33.33
netty,All,2,75.0
netty,All,2,77.78
netty,All,2,78.61
netty,All,2,49.02
netty,All,2,78.55
netty,All,2,61.54
netty,All,2,60.0
netty,All,2,81.82
netty,All,2,71.43
netty,All,2,71.43
netty,All,2,80.0
netty,All,2,67.27
netty,All,2,52.38
netty,All,2,77.78
netty,All,2,58.1
netty,All,2,33.33
netty,All,2,75.0
netty,All,2,46.43
netty,All,2,75.0
netty,All,2,94.5
netty,All,2,57.59
netty,All,2,91.67
netty,All,2,0.0
netty,All,2,33.33
netty,All,2,84.62
netty,All,2,55.79
netty,All,2,46.67
netty,All,2,0.0
netty,All,2,33.33
netty,All,2,0.0
netty,All,2,53.85
netty,All,2,97.56
netty,All,2,57.14
netty,All,2,33.33
netty,All,2,49.06
netty,All,2,87.5
netty,All,2,53.85
netty,All,2,33.33
netty,All,2,33.33
netty,All,2,73.63
netty,All,2,46.15
netty,All,2,46.67
netty,All,2,46.67
netty,All,2,61.54
netty,All,2,33.33
netty,All,2,46.67
netty,All,2,56.36
netty,All,2,0.0
netty,All,2,85.75
netty,All,2,81.82
netty,All,2,64.44
netty,All,2,48.91
netty,All,2,50.77
netty,All,2,93.1
netty,All,2,60.0
netty,All,2,69.7
netty,All,2,64.44
netty,All,2,33.33
netty,All,2,90.64
netty,All,2,71.79
netty,All,2,58.1
netty,All,2,33.33
netty,All,2,40.0
netty,All,2,61.11
netty,All,2,42.86
netty,All,2,52.0
netty,All,2,0.0
netty,All,2,0.0
netty,All,2,33.33
netty,All,2,80.0
netty,All,2,71.43
netty,All,2,48.53
netty,All,2,40.0
netty,All,2,92.86
netty,All,2,56.36
netty,All,2,0.0
netty,All,2,44.44
netty,All,2,90.71
netty,All,2,33.33
netty,All,2,33.33
netty,All,2,89.47
netty,All,2,88.76
netty,All,2,33.33
netty,All,2,50.0
netty,All,2,33.33
netty,All,2,44.44
netty,All,2,33.33
netty,All,2,33.33
netty,All,2,53.33
netty,All,2,50.0
netty,All,2,94.29
netty,All,2,75.0
netty,All,2,54.55
netty,File,2,11.96
netty,File,2,27.62
netty,File,2,44.18
netty,File,2,55.56
netty,File,2,57.31
netty,File,2,52.08
netty,File,2,66.67
netty,File,2,57.14
netty,File,2,25.0
netty,File,2,22.1
netty,File,2,49.02
netty,File,2,27.01
netty,File,2,57.69
netty,File,2,70.0
netty,File,2,40.0
netty,File,2,71.43
netty,File,2,57.14
netty,File,2,55.56
netty,File,2,32.73
netty,File,2,100.0
netty,File,2,44.44
netty,File,2,56.19
netty,File,2,100.0
netty,File,2,100.0
netty,File,2,85.71
netty,File,2,100.0
netty,File,2,6.42
netty,File,2,48.76
netty,File,2,52.17
netty,File,2,100.0
netty,File,2,66.67
netty,File,2,34.62
netty,File,2,92.11
netty,File,2,46.67
netty,File,2,100.0
netty,File,2,66.67
netty,File,2,100.0
netty,File,2,100.0
netty,File,2,4.97
netty,File,2,96.43
netty,File,2,83.33
netty,File,2,65.34
netty,File,2,35.83
netty,File,2,66.67
netty,File,2,83.33
netty,File,2,66.67
netty,File,2,61.54
netty,File,2,80.77
netty,File,2,75.56
netty,File,2,100.0
netty,File,2,70.51
netty,File,2,66.67
netty,File,2,93.33
netty,File,2,49.09
netty,File,2,100.0
netty,File,2,31.91
netty,File,2,83.64
netty,File,2,46.67
netty,File,2,48.4
netty,File,2,74.15
netty,File,2,51.97
netty,File,2,100.0
netty,File,2,100.0
netty,File,2,97.78
netty,File,2,66.67
netty,File,2,27.76
netty,File,2,50.0
netty,File,2,59.05
netty,File,2,100.0
netty,File,2,90.0
netty,File,2,80.56
netty,File,2,100.0
netty,File,2,63.0
netty,File,2,100.0
netty,File,2,100.0
netty,File,2,100.0
netty,File,2,40.0
netty,File,2,47.62
netty,File,2,88.97
netty,File,2,70.0
netty,File,2,29.37
netty,File,2,76.36
netty,File,2,100.0
netty,File,2,100.0
netty,File,2,10.1
netty,File,2,100.0
netty,File,2,66.67
netty,File,2,30.99
netty,File,2,45.79
netty,File,2,100.0
netty,File,2,50.0
netty,File,2,100.0
netty,File,2,88.89
netty,File,2,100.0
netty,File,2,100.0
netty,File,2,95.56
netty,File,2,100.0
netty,File,2,26.21
netty,File,2,50.0
netty,File,2,52.38
netty,DefUse,2,91.67
netty,DefUse,2,37.14
