week,total_users,total_usage,total_generated_groups,total_manual_groups
1,28,162,277,194
2,17,124,227,170
3,17,103,248,161
4,18,141,295,218
5,14,126,287,166
6,10,119,212,127
7,10,74,127,93
8,10,69,126,77
9,9,60,117,76
10,13,66,121,98
11,5,45,65,47
12,9,33,51,37
13,11,57,93,61
14,8,18,42,35
15,10,34,63,42
16,13,71,113,76
17,14,57,100,61
18,12,58,110,58
19,9,63,97,63
20,10,49,74,49
21,7,33,55,33
22,6,56,102,61
23,8,65,102,65
24,8,56,90,56
25,11,84,139,93
26,9,87,178,91
27,13,86,162,89
28,13,70,126,76
29,10,68,111,73
30,10,74,151,74
31,10,55,126,68
32,9,114,197,114
33,9,60,114,61
34,5,73,131,73
35,7,59,116,59
36,8,63,119,65
