repo,percent
netty,20
netty,12
netty,47
netty,0
netty,35
netty,26
netty,4
netty,2
netty,70
netty,3
netty,24
netty,1
netty,1
netty,15
netty,16
netty,59
netty,7
netty,8
netty,0
netty,8
netty,5
netty,0
netty,1
netty,4
netty,0
netty,0
netty,38
netty,2
netty,47
netty,22
netty,27
netty,5
netty,17
netty,11
netty,4
netty,0
netty,2
netty,3
netty,5
netty,3
netty,0
netty,12
netty,6
netty,10
netty,5
netty,0
netty,5
netty,0
netty,0
netty,1
netty,6
netty,0
netty,3
netty,17
netty,1
netty,4
netty,45
netty,1
netty,40
netty,6
netty,0
netty,1
netty,0
netty,1
netty,21
netty,3
netty,0
netty,5
netty,1
netty,0
netty,0
netty,3
netty,1
netty,0
netty,1
netty,4
netty,3
netty,76
netty,48
netty,8
netty,7
netty,21
netty,6
netty,3
netty,0
netty,1
netty,28
netty,0
netty,12
netty,2
netty,0
netty,0
netty,14
netty,0
netty,5
netty,7
netty,3
netty,0
netty,12
netty,2
netty,11
netty,13
netty,0
netty,26
netty,9
netty,0
netty,14
netty,7
netty,0
netty,0
netty,19
netty,6
netty,6
netty,12
netty,3
netty,0
netty,17
netty,0
netty,1
netty,5
netty,0
netty,2
netty,8
netty,16
netty,3
netty,1
netty,3
netty,0
netty,4
netty,0
netty,3
netty,29
netty,1
netty,1
netty,0
netty,0
netty,0
netty,11
netty,4
netty,0
netty,26
netty,1
netty,76
netty,1
netty,3
netty,4
netty,9
netty,1
netty,3
netty,6
netty,0
netty,2
netty,2
netty,0
netty,0
netty,7
netty,1
netty,23
netty,13
netty,0
netty,0
netty,7
netty,0
netty,2
netty,23
netty,15
netty,8
netty,14
netty,2
netty,6
netty,2
netty,0
netty,7
netty,7
netty,16
netty,3
netty,1
netty,2
netty,2
netty,5
netty,13
netty,14
netty,8
netty,0
netty,7
netty,1
netty,2
netty,1
netty,7
netty,4
netty,2
netty,5
netty,0
netty,4
netty,5
netty,5
netty,7
netty,27
netty,1
netty,7
netty,17
netty,1
netty,7
netty,28
netty,0
netty,12
netty,1
netty,0
netty,0
netty,10
netty,1
netty,4
netty,2
netty,0
netty,6
netty,23
netty,8
netty,4
netty,5
netty,0
netty,0
netty,11
netty,0
netty,0
netty,4
netty,0
netty,3
netty,8
netty,0
netty,3
netty,6
netty,2
netty,20
netty,4
netty,1
netty,0
netty,3
netty,1
netty,0
netty,34
netty,10
netty,6
netty,7
netty,4
netty,4
netty,7
netty,0
netty,17
netty,3
netty,3
netty,0
netty,5
netty,29
netty,6
netty,10
netty,0
netty,0
netty,3
netty,0
netty,0
netty,5
netty,3
netty,6
netty,0
netty,19
netty,0
netty,34
netty,0
netty,2
netty,11
netty,1
netty,6
netty,16
netty,1
netty,0
netty,9
netty,1
netty,13
netty,29
netty,0
netty,4
netty,17
netty,0
netty,1
netty,10
netty,4
netty,24
netty,11
netty,0
netty,1
netty,50
netty,4
netty,4
netty,22
netty,0
netty,0
netty,41
netty,9
netty,6
netty,65
nomulus,0
nomulus,5
nomulus,83
nomulus,0
nomulus,65
nomulus,8
nomulus,4
nomulus,4
nomulus,19
nomulus,0
nomulus,6
nomulus,74
nomulus,2
nomulus,8
nomulus,17
nomulus,10
nomulus,4
nomulus,7
nomulus,6
nomulus,4
nomulus,2
nomulus,3
nomulus,72
nomulus,9
nomulus,4
nomulus,13
nomulus,12
nomulus,16
nomulus,2
nomulus,67
nomulus,5
nomulus,4
nomulus,7
nomulus,8
nomulus,4
nomulus,56
nomulus,5
nomulus,0
nomulus,2
nomulus,2
nomulus,1
nomulus,5
nomulus,7
nomulus,8
nomulus,17
nomulus,2
nomulus,16
nomulus,24
nomulus,2
nomulus,6
nomulus,37
nomulus,0
nomulus,3
nomulus,0
nomulus,0
nomulus,62
nomulus,9
nomulus,8
nomulus,9
nomulus,1
nomulus,16
nomulus,0
nomulus,28
nomulus,0
nomulus,39
nomulus,47
nomulus,2
nomulus,2
nomulus,21
nomulus,4
nomulus,0
nomulus,8
nomulus,3
nomulus,6
nomulus,1
nomulus,2
nomulus,0
nomulus,9
nomulus,49
nomulus,0
nomulus,4
nomulus,7
nomulus,39
nomulus,88
nomulus,0
nomulus,1
nomulus,3
nomulus,39
nomulus,1
nomulus,9
nomulus,2
nomulus,36
nomulus,22
nomulus,0
nomulus,0
nomulus,11
nomulus,0
nomulus,0
nomulus,21
nomulus,1
nomulus,2
nomulus,20
nomulus,1
nomulus,2
nomulus,6
nomulus,0
nomulus,0
nomulus,4
nomulus,0
nomulus,28
nomulus,6
nomulus,2
nomulus,9
nomulus,6
nomulus,40
nomulus,2
nomulus,50
nomulus,1
nomulus,30
nomulus,9
nomulus,1
nomulus,12
nomulus,7
nomulus,6
nomulus,4
nomulus,6
nomulus,13
nomulus,2
nomulus,12
nomulus,0
nomulus,1
nomulus,1
nomulus,7
nomulus,2
nomulus,27
nomulus,0
nomulus,6
nomulus,5
nomulus,2
nomulus,0
nomulus,4
nomulus,0
nomulus,11
nomulus,1
nomulus,0
nomulus,3
nomulus,3
nomulus,2
nomulus,51
nomulus,44
nomulus,13
nomulus,1
nomulus,161
nomulus,9
nomulus,13
nomulus,7
nomulus,34
nomulus,3
nomulus,13
nomulus,7
nomulus,0
nomulus,19
nomulus,12
nomulus,9
nomulus,27
nomulus,0
nomulus,6
nomulus,23
nomulus,4
nomulus,5
nomulus,5
nomulus,2
nomulus,0
nomulus,1
nomulus,0
nomulus,4
nomulus,28
nomulus,1
nomulus,2
nomulus,27
nomulus,0
nomulus,6
nomulus,24
nomulus,2
nomulus,2
nomulus,16
nomulus,6
nomulus,12
nomulus,0
nomulus,0
nomulus,0
nomulus,107
nomulus,3
nomulus,2
nomulus,58
nomulus,2
nomulus,28
nomulus,16
nomulus,2
nomulus,0
nomulus,15
nomulus,51
nomulus,6
nomulus,65
nomulus,1
nomulus,1
nomulus,27
nomulus,0
nomulus,6
nomulus,16
nomulus,0
nomulus,0
nomulus,14
nomulus,7
nomulus,4
nomulus,19
nomulus,5
nomulus,3
nomulus,31
nomulus,4
nomulus,6
nomulus,24
nomulus,0
nomulus,9
nomulus,9
nomulus,3
nomulus,4
nomulus,170
nomulus,0
nomulus,0
nomulus,1
nomulus,12
nomulus,23
nomulus,5
nomulus,4
nomulus,1
nomulus,1
nomulus,1
nomulus,1
nomulus,95
nomulus,0
nomulus,19
nomulus,60
nomulus,1
nomulus,1
nomulus,7
nomulus,5
nomulus,1
nomulus,3
nomulus,0
nomulus,2
nomulus,10
nomulus,2
nomulus,4
nomulus,9
nomulus,1
nomulus,45
nomulus,1
nomulus,0
nomulus,116
nomulus,6
nomulus,1
nomulus,1
nomulus,13
nomulus,6
nomulus,2
nomulus,38
nomulus,0
nomulus,6
nomulus,22
nomulus,2
nomulus,6
nomulus,12
nomulus,1
nomulus,16
nomulus,4
nomulus,4
nomulus,6
nomulus,4
nomulus,24
nomulus,20
nomulus,18
realm-java,0
realm-java,3
realm-java,14
realm-java,1
realm-java,2
realm-java,7
realm-java,3
realm-java,6
realm-java,7
realm-java,0
realm-java,9
realm-java,22
realm-java,0
realm-java,2
realm-java,3
realm-java,4
realm-java,2
realm-java,4
realm-java,0
realm-java,0
realm-java,3
realm-java,2
realm-java,2
realm-java,7
realm-java,1
realm-java,0
realm-java,30
realm-java,5
realm-java,5
realm-java,8
realm-java,2
realm-java,16
realm-java,5
realm-java,15
realm-java,4
realm-java,3
realm-java,0
realm-java,0
realm-java,34
realm-java,6
realm-java,1
realm-java,32
realm-java,0
realm-java,11
realm-java,50
realm-java,1
realm-java,1
realm-java,6
realm-java,3
realm-java,62
realm-java,11
realm-java,0
realm-java,1
realm-java,14
realm-java,0
realm-java,15
realm-java,5
realm-java,25
realm-java,2
realm-java,61
realm-java,1
realm-java,7
realm-java,14
realm-java,2
realm-java,3
realm-java,3
realm-java,2
realm-java,2
realm-java,28
realm-java,6
realm-java,8
realm-java,3
realm-java,0
realm-java,4
realm-java,2
realm-java,6
realm-java,12
realm-java,25
realm-java,6
realm-java,49
realm-java,1
realm-java,4
realm-java,9
realm-java,8
realm-java,0
realm-java,6
realm-java,5
realm-java,1
realm-java,27
realm-java,2
realm-java,37
realm-java,1
realm-java,29
realm-java,1
realm-java,1
realm-java,4
realm-java,9
realm-java,3
realm-java,29
realm-java,3
realm-java,0
realm-java,4
realm-java,2
realm-java,23
realm-java,20
realm-java,0
realm-java,2
realm-java,3
