repo,length,#diff_hunks,run_time(ms),#LOC
netty,2,24,1605,50
netty,2,15,189,122
netty,2,28,206,673
netty,2,10,299,282
netty,2,19,260,1163
netty,2,136,2678,809
netty,2,3,91,118
netty,2,8,60,51
netty,2,9,84,577
netty,2,34,1239,7403
netty,2,48,115,204
netty,2,83,313,363
netty,2,13,127,150
netty,2,5,81,700
netty,2,11,88,46
netty,2,7,14,34
netty,2,7,245,32
netty,2,10,89,73
netty,2,11,371,98
netty,2,7,234,24
netty,2,9,53,72
netty,2,15,119,64
netty,2,3,35,6
netty,2,8,90,22
netty,2,8,36,23
netty,2,8,19,57
netty,2,107,385,122
netty,2,64,1803,673
netty,2,24,109,140
netty,2,2,22,13
netty,2,3,23,24
netty,2,13,106,36
netty,2,20,69,73
netty,2,6,45,45
netty,2,2,44,6
netty,2,3,19,6
netty,2,2,52,5
netty,2,13,114,105
netty,2,82,912,285
netty,2,8,30,14
netty,2,4,40,10
netty,2,43,155,230
netty,2,16,112,94
netty,2,13,452,144
netty,2,4,88,124
netty,2,3,14,6
netty,2,14,81,42
netty,2,13,37,61
netty,2,10,92,36
netty,2,6,49,24
netty,2,13,165,43
netty,2,3,20,8
netty,2,6,43,212
netty,2,11,86,21
netty,2,2,147,7
netty,2,27,123,366
netty,2,11,672,139
netty,2,10,334,44
netty,2,35,473,159
netty,2,26,425,100
netty,2,29,49,168
netty,2,5,20,13
netty,2,12,112,92
netty,2,10,19,25
netty,2,4,25,25
netty,2,62,419,180
netty,2,13,172,70
netty,2,15,184,108
netty,2,4,91,12
netty,2,5,435,10
netty,2,9,24,41
netty,2,7,143,20
netty,2,25,1076,723
netty,2,2,203,8
netty,2,2,20,4
netty,2,3,23,14
netty,2,10,44,289
netty,2,7,318,77
netty,2,17,329,51
netty,2,5,27,11
netty,2,28,323,578
netty,2,11,111,53
netty,2,2,14,3
netty,2,10,48,45
netty,2,42,1564,105
netty,2,3,30,14
netty,2,4,17,63
netty,2,19,331,35
netty,2,68,1462,684
netty,2,4,129,36
