project,length,accuracy
netty,2,11.23
netty,2,82.05
netty,2,100.0
netty,2,51.34
netty,2,74.6
netty,2,56.04
netty,2,53.33
netty,2,100.0
netty,2,95.32
netty,2,82.93
netty,2,50.51
netty,2,100.0
netty,2,100.0
netty,2,100.0
netty,2,100.0
netty,2,100.0
netty,2,100.0
netty,2,100.0
netty,2,90.02
netty,2,53.85
netty,2,50.71
netty,2,62.68
netty,2,76.73
netty,2,47.89
netty,2,79.49
netty,2,85.71
netty,2,40.0
netty,2,40.0
netty,2,40.0
netty,2,100.0
netty,2,71.43
netty,2,100.0
netty,2,100.0
netty,2,100.0
netty,2,100.0
netty,2,98.18
netty,2,71.43
netty,2,80.95
netty,2,100.0
netty,2,100.0
netty,2,100.0
netty,2,90.48
netty,2,87.18
netty,2,100.0
netty,2,100.0
netty,2,100.0
netty,2,53.33
netty,2,85.71
netty,2,69.7
netty,2,42.86
netty,2,52.6
netty,2,53.7
netty,2,59.13
netty,2,51.98
netty,2,100.0
netty,2,100.0
netty,2,100.0
netty,2,100.0
netty,2,100.0
netty,2,100.0
netty,2,48.62
netty,2,81.58
netty,2,100.0
netty,2,40.0
netty,2,100.0
netty,2,100.0
netty,2,100.0
netty,2,100.0
netty,2,100.0
netty,2,68.89
netty,2,46.15
netty,2,100.0
netty,2,92.89
netty,2,92.83
netty,2,100.0
netty,2,100.0
netty,2,100.0
netty,2,100.0
netty,2,100.0
netty,2,58.47
netty,2,49.58
netty,2,70.0
netty,2,100.0
netty,2,100.0
netty,2,81.82
netty,2,83.33
netty,2,100.0
netty,2,100.0
netty,2,64.84
netty,2,79.08
netty,2,92.31
netty,2,86.67
netty,2,71.43
netty,2,75.56
netty,2,80.0
netty,2,80.0
netty,2,96.7
netty,2,100.0
netty,2,100.0
netty,2,100.0
nomulus,2,100.0
nomulus,2,55.88
nomulus,2,52.78
nomulus,2,100.0
nomulus,2,100.0
nomulus,2,53.85
nomulus,2,100.0
nomulus,2,100.0
nomulus,2,62.0
nomulus,2,83.55
nomulus,2,83.33
nomulus,2,85.87
nomulus,2,71.9
nomulus,2,82.46
nomulus,2,84.85
nomulus,2,59.09
nomulus,2,57.08
nomulus,2,56.36
nomulus,2,63.64
nomulus,2,65.19
nomulus,2,49.5
nomulus,2,87.94
nomulus,2,100.0
nomulus,2,64.13
nomulus,2,86.77
nomulus,2,66.91
nomulus,2,100.0
nomulus,2,80.95
nomulus,2,60.0
nomulus,2,63.64
nomulus,2,90.75
nomulus,2,92.33
nomulus,2,75.56
nomulus,2,87.27
nomulus,2,100.0
nomulus,2,100.0
nomulus,2,100.0
nomulus,2,100.0
nomulus,2,99.66
nomulus,2,50.0
nomulus,2,34.07
nomulus,2,100.0
nomulus,2,47.44
nomulus,2,58.75
nomulus,2,100.0
nomulus,2,85.33
nomulus,2,100.0
nomulus,2,45.45
nomulus,2,83.33
nomulus,2,69.7
nomulus,2,100.0
nomulus,2,52.38
nomulus,2,15.56
nomulus,2,23.26
nomulus,2,72.06
nomulus,2,64.95
nomulus,2,100.0
nomulus,2,100.0
nomulus,2,100.0
nomulus,2,98.21
nomulus,2,59.36
nomulus,2,56.14
nomulus,2,90.53
nomulus,2,100.0
nomulus,2,100.0
nomulus,2,100.0
nomulus,2,98.53
nomulus,2,82.08
nomulus,2,86.57
nomulus,2,88.46
nomulus,2,100.0
nomulus,2,100.0
nomulus,2,100.0
nomulus,2,100.0
nomulus,2,100.0
nomulus,2,84.76
nomulus,2,58.33
nomulus,2,55.82
nomulus,2,54.65
nomulus,2,90.48
nomulus,2,66.67
nomulus,2,93.12
nomulus,2,93.6
nomulus,2,78.23
nomulus,2,74.86
nomulus,2,42.05
