project,method,length,accuracy
netty,All,2,91.67
netty,All,2,95.0
netty,All,2,75.24
netty,All,2,51.34
netty,All,2,61.11
netty,All,2,46.15
netty,All,2,53.33
netty,All,2,61.54
netty,All,2,47.37
netty,All,2,81.04
netty,All,2,50.51
netty,All,2,93.55
netty,All,2,33.33
netty,All,2,75.0
netty,All,2,75.0
netty,All,2,50.0
netty,All,2,77.78
netty,All,2,51.52
netty,All,2,78.61
netty,All,2,49.93
netty,All,2,49.02
netty,All,2,61.6
netty,All,2,78.55
netty,All,2,47.37
netty,All,2,61.54
netty,All,2,42.86
netty,All,2,60.0
netty,All,2,81.82
netty,All,2,81.82
netty,All,2,71.43
netty,All,2,71.43
netty,All,2,71.43
netty,All,2,80.0
netty,All,2,80.0
netty,All,2,50.0
netty,All,2,67.27
netty,All,2,52.38
netty,All,2,52.38
netty,All,2,64.44
netty,All,2,77.78
netty,All,2,60.0
netty,All,2,58.1
netty,All,2,71.79
netty,All,2,33.33
netty,All,2,0.0
netty,All,2,75.0
netty,All,2,53.33
netty,All,2,46.43
netty,All,2,46.97
netty,All,2,75.0
netty,All,2,94.5
netty,All,2,73.66
netty,All,2,57.59
netty,All,2,54.57
netty,All,2,91.67
netty,All,2,0.0
netty,All,2,0.0
netty,All,2,33.33
netty,All,2,33.33
netty,All,2,84.62
netty,All,2,48.31
netty,All,2,55.79
netty,All,2,46.67
netty,All,2,46.67
netty,All,2,33.33
netty,All,2,0.0
netty,All,2,33.33
netty,All,2,0.0
netty,All,2,0.0
netty,All,2,80.0
netty,All,2,53.85
netty,All,2,60.0
netty,All,2,97.56
netty,All,2,97.56
netty,All,2,57.14
netty,All,2,57.14
netty,All,2,33.33
netty,All,2,52.38
netty,All,2,91.67
netty,All,2,49.06
netty,All,2,49.58
netty,All,2,87.5
netty,All,2,60.0
netty,All,2,53.85
netty,All,2,67.27
netty,All,2,33.33
netty,All,2,33.33
netty,All,2,33.33
netty,All,2,73.63
netty,All,2,52.94
netty,All,2,46.15
netty,All,2,53.33
netty,All,2,57.14
netty,All,2,46.67
netty,All,2,46.67
netty,All,2,46.67
netty,All,2,56.04
netty,All,2,61.54
netty,All,2,40.0
netty,All,2,33.33
netty,File,2,11.96
netty,File,2,18.46
netty,File,2,27.62
netty,File,2,52.58
netty,File,2,44.18
netty,File,2,58.24
netty,File,2,55.56
netty,File,2,50.0
netty,File,2,57.31
netty,File,2,22.35
netty,File,2,52.08
netty,File,2,12.68
netty,File,2,66.67
netty,File,2,57.14
netty,File,2,57.14
netty,File,2,100.0
netty,File,2,25.0
netty,File,2,50.0
netty,File,2,22.1
netty,File,2,52.18
netty,File,2,49.02
netty,File,2,39.81
netty,File,2,27.01
netty,File,2,47.37
netty,File,2,57.69
netty,File,2,76.19
netty,File,2,70.0
netty,File,2,34.55
netty,File,2,40.0
netty,File,2,71.43
netty,File,2,71.43
