repo,length,#diff_hunks,run_time(ms),#LOC
netty,2,24,1446,50
netty,2,40,806,569
netty,2,15,128,122
netty,2,34,204,247
netty,2,28,146,673
netty,2,14,183,734
netty,2,10,228,282
netty,2,13,95,133
netty,2,19,356,1163
netty,2,86,1769,1717
netty,2,136,2104,809
netty,2,61,328,270
netty,2,3,75,118
netty,2,8,44,49
netty,2,8,53,51
netty,2,4,54,17
netty,2,9,64,577
netty,2,12,61,589
netty,2,34,1011,7403
netty,2,53,1216,7489
netty,2,48,94,204
netty,2,98,308,323
netty,2,83,279,363
netty,2,20,76,288
netty,2,13,120,150
netty,2,7,52,64
netty,2,5,126,700
netty,2,11,52,681
netty,2,11,80,46
netty,2,7,12,34
netty,2,7,12,107
netty,2,7,185,32
netty,2,10,47,74
netty,2,10,83,73
netty,2,4,133,57
netty,2,11,321,98
netty,2,7,516,95
netty,2,7,233,24
netty,2,10,95,79
netty,2,9,38,72
netty,2,5,45,8
netty,2,15,91,64
netty,2,13,104,62
netty,2,3,31,6
netty,2,2,59,12
netty,2,8,98,22
netty,2,10,49,26
netty,2,8,32,23
netty,2,12,36,51
netty,2,8,13,57
netty,2,107,428,122
netty,2,123,476,207
netty,2,64,1511,673
netty,2,68,1453,720
netty,2,24,95,140
netty,2,2,17,13
netty,2,2,20,13
netty,2,3,27,24
netty,2,3,26,24
netty,2,13,79,36
netty,2,26,168,95
netty,2,20,55,73
netty,2,10,41,51
netty,2,6,41,45
netty,2,3,39,10
netty,2,2,43,6
netty,2,3,11,6
netty,2,2,53,5
netty,2,2,41,5
netty,2,10,56,72
netty,2,13,109,105
netty,2,5,62,39
netty,2,82,690,285
netty,2,82,671,283
netty,2,8,20,14
netty,2,8,32,12
netty,2,4,35,10
netty,2,7,33,23
netty,2,24,120,139
netty,2,43,124,230
netty,2,35,138,185
netty,2,16,79,94
netty,2,5,364,77
netty,2,13,346,144
netty,2,11,19,189
netty,2,4,69,124
netty,2,3,65,6
netty,2,3,11,6
netty,2,14,63,42
netty,2,18,59,40
netty,2,13,34,61
netty,2,10,31,55
netty,2,8,52,31
netty,2,10,69,36
netty,2,6,32,20
netty,2,6,30,24
netty,2,14,109,46
netty,2,13,123,43
netty,2,5,23,14
netty,2,3,18,8
nomulus,2,13,1157,104
nomulus,2,17,419,197
nomulus,2,199,7630,2182
nomulus,2,2,66,5
nomulus,2,5,88,36
nomulus,2,13,222,158
nomulus,2,10,73,125
nomulus,2,5,50,16
nomulus,2,25,209,97
nomulus,2,22,208,102
nomulus,2,12,94,42
nomulus,2,24,187,64
nomulus,2,21,310,80
nomulus,2,19,133,130
nomulus,2,12,8,96
nomulus,2,12,315,113
nomulus,2,47,481,259
nomulus,2,11,208,979
nomulus,2,12,236,981
nomulus,2,75,522,817
nomulus,2,134,1504,1004
nomulus,2,62,309,195
nomulus,2,2,27,4
nomulus,2,36,501,594
nomulus,2,45,366,889
nomulus,2,17,14,314
nomulus,2,6,47,68
nomulus,2,7,129,70
nomulus,2,5,103,13
nomulus,2,12,112,21
nomulus,2,31,1681,102
nomulus,2,25,794,95
nomulus,2,10,15,34
nomulus,2,11,53,34
nomulus,2,16,118,41
nomulus,2,13,84,35
nomulus,2,7,27,41
nomulus,2,36,115,156
nomulus,2,35,111,128
nomulus,2,16,34,64
nomulus,2,14,54,46
nomulus,2,4,15,43
nomulus,2,46,929,441
nomulus,2,51,930,426
nomulus,2,10,61,34
nomulus,2,25,502,124
nomulus,2,5,20,15
nomulus,2,11,63,37
nomulus,2,9,49,33
nomulus,2,12,57,76
nomulus,2,14,64,83
nomulus,2,7,44,19
